Year,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Electric Utility Natural Gas,Woody Biomass,Electric Utility Steam Coal,Commercial Electricity,Industrial Electricity,Residential Electricity
2082,15.4291994152785,13.1985669152688,7.0811989029568,6.5955648671755,5.5842338386012,2.5226806400760,31.8801298193854,22.4324446389465,39.5705352510539
2083,15.4398671262710,13.2076923723698,7.0860948266754,6.6001250247016,5.5986230395681,2.5281795346644,31.8449250577600,22.4222690834891,39.5268380870588
2084,15.4505422128930,13.2168241387897,7.0909941354238,6.6046883351096,5.6130493179767,2.5336904156459,31.8097591722386,22.4120981437536,39.4831891772036
2085,15.4612246802439,13.2259622188907,7.0958968315424,6.6092548005792,5.6275127693664,2.5392133091481,31.7746321198908,22.4019318176465,39.4395884682018
2086,15.4648455624777,13.2290596224027,7.0975586278944,6.6108026296666,5.6395580019552,2.5429573704375,31.7363350481074,22.3894598237416,39.3920530397829
2087,15.4684672926903,13.2321577512992,7.0992208134244,6.6123508212419,5.6516290163830,2.5467069523324,31.6980841347092,22.3769947734625,39.3445749044809
2088,15.4720898710800,13.2352566057502,7.1008833882236,6.6138993753899,5.6637258678337,2.5504620629729,31.6598793240627,22.3645366629435,39.2971539932421
2089,15.4757132978456,13.2383561859254,7.1025463523831,6.6154482921957,5.6758486116094,2.5542227105111,31.6217205606016,22.3520854883209,39.2497902370959
2090,15.4793375731857,13.2414564919950,7.1042097059941,6.6169975717441,5.6879973031304,2.5579889031111,31.5836077888266,22.3396412457331,39.2024835671550
2091,15.4848305104376,13.2461553035101,7.1067306780935,6.6193456536491,5.6991168854632,2.5592501421168,31.5394632469700,22.3225920141794,39.1476900904793
2092,15.4903253968917,13.2508557824270,7.1092525447752,6.6216945687854,5.7102582056950,2.5605120029875,31.4953804061259,22.3055557943071,39.0929731988772
2093,15.4958222332398,13.2555579293375,7.1117753063567,6.6240443174484,5.7214213063217,2.5617744860298,31.4513591800544,22.2885325761861,39.0383327853053
2094,15.5013210201738,13.2602617448336,7.1142989631555,6.6263948999341,5.7326062299223,2.5630375915506,31.4073994826363,22.2715223498935,38.9837687428700
2095,15.5068217583858,13.2649672295072,7.1168235154893,6.6287463165383,5.7438130191589,2.5643013198566,31.3635012278727,22.2545251055143,38.9292809648270
2096,15.5152874177826,13.2722089903415,7.1207088122192,6.6323651566474,5.7570440466225,2.5624850697468,31.3206487159539,22.2385444728996,38.8760911929193
2097,15.5237576988480,13.2794547046798,7.1245962300543,6.6359859723946,5.7703055521130,2.5606701060554,31.2778547541876,22.2225753157316,38.8229740951470
2098,15.5322326041048,13.2867043746804,7.1284857701524,6.6396087648584,5.7835976058374,2.5588564278712,31.2351192625755,22.2066176257702,38.7699295722142
2099,15.5407121360778,13.2939580025027,7.1323774336722,6.6432335351181,5.7969202781643,2.5570440342838,31.1924421612289,22.1906713947807,38.7169575249605
2100,15.5491962972927,13.3012155903075,7.1362712217730,6.6468602842533,5.8102736396245,2.5552329243833,31.1498233703682,22.1747366145348,38.6640578543611
